cdatetime,address,district,beat,grid,crimedescr
1/5/06 19:18,6305 PANTANO DR,6,6C        ,1422,459 PC  BURGLARY RESIDENCE
1/5/06 19:26,6001 RIZA AVE,6,6C        ,1441,HARASSMENT - I RPT
1/5/06 19:35,7376 FRANKLIN BLVD,5,5B        ,1602,FAMILY DISTURBANCE - I RPT
1/5/06 19:40,1085 WESTWARD WAY,1,1C        ,416,11350(A)HS POSS CNTRL SUBST
1/5/06 19:41,2832 AQUINO DR,1,1B        ,422,242 PC  BATTERY CIVILIAN
1/5/06 19:43,3300 12TH AVE,6,6A        ,1051,11350(A)HS POSS CNTRL SUBST
1/5/06 19:54,1820 J ST,3,3M        ,746,CASUALTY REPORT
1/5/06 19:56,5301 FREEPORT BLVD,4,4B        ,976,SUSP PERS-NO CRIME - I RPT
1/5/06 19:56,COLLEGE TOWN DR / LA RIVIERA DR,3,3C        ,888,TRAFFIC-ACCIDENT-NON INJURY
1/5/06 20:00,2750 SUTTERVILLE RD,4,4B        ,958,MISSING PERSON
1/5/06 20:00,K ST / 28TH ST,3,3B        ,748,459 PC  BURGLARY VEHICLE
1/5/06 20:00,480 FORD RD,2,2B        ,532,RECOVERED PROPERTY - I RPT
1/5/06 20:00,2750 SUTTERVILLE RD,4,4B        ,958,MISSING PERSON
1/5/06 20:00,2750 SUTTERVILLE RD,4,4B        ,958,MISSING PERSON
1/5/06 20:00,2750 SUTTERVILLE RD,4,4B        ,958,MISSING PERSON
1/5/06 20:00,2750 SUTTERVILLE RD,4,4B        ,958,MISSING PERSON
1/5/06 20:00,2750 SUTTERVILLE RD,4,4B        ,958,MISSING PERSON
1/5/06 20:00,3015 SAN CARLOS WAY,6,6A        ,1032,459 PC  BURGLARY RESIDENCE
1/5/06 20:00,6172 FENNWOOD CT,4,4C        ,1255,246 PC SHOOT OCCUP DWELL/VEH
1/5/06 20:00,1239 WOODFIELD AVE,4,4C        ,1288,SUSP PERS-NO CRIME - I RPT
1/5/06 20:00,1696 ARDEN WAY,2,2C        ,628,459 PC  BURGLARY VEHICLE
1/5/06 20:00,1017 11TH ST,3,3M        ,744,459 PC  BURGLARY VEHICLE
1/5/06 20:00,1396 GARDEN HWY,1,1B        ,440,459 PC  BURGLARY VEHICLE
1/5/06 20:05,7000 FRANKLIN BLVD,5,5B        ,1359,TOWED/STORED VEH-14602.6
1/5/06 20:10,1828 BROADWAY,4,4A        ,906,211 PC ROBBERY- BUSINESS
1/5/06 20:15,16TH AVE / STOCKTON BLVD,6,          ,1064,23220 VC DRINKING WHILE DRVING
1/5/06 20:16,704 NORTHFIELD DR,1,1C        ,447,PROB VIOLA/FEL-MISD - I RPT
1/5/06 20:22,3324 S ST,3,3C        ,861,20002(A) HIT/RUN
1/5/06 20:30,1954 SAN JUAN RD,1,1B        ,411,10851(A)VC TAKE VEH W/O OWNER
1/5/06 20:30,53 YUBA RIVER CIR,4,4C        ,1264,594(B)(2)(A) VANDALISM/ -$400
1/5/06 20:45,FLORIN RD / FRANKLIN BLVD,5,5B        ,1359,23152(A) VC DUI-ALCOHOL/DRUGS
1/5/06 21:00,4802 BANDALIN WAY,5,5B        ,1621,MISSING PERSON
1/5/06 21:00,7607 BELLINI WAY,6,6C        ,1445,594(B)(2)(A) VANDALISM/ -$400
1/5/06 21:00,6685 STOCKTON BLVD,6,6C        ,1441,484G(B) PC ACCESS CARD FRAUD
1/5/06 21:04,FRUITRIDGE RD / CABRILLO WAY,6,6B        ,1087,20002(A) HIT/RUN
1/5/06 21:05,BELL AVE / DRY CREEK RD,2,2A        ,235,148(A)(1)PC RESIST PEACE OFFCR
1/5/06 21:12,827 SAN JUAN RD,1,1C        ,405,BATTERY - I RPT
1/5/06 21:19,3555 AUBURN BLVD,2,2A        ,509,MISSING PERSON
1/5/06 21:30,7565 GREENHAVEN DR,4,4C        ,1296,459 PC  BURGLARY VEHICLE
1/5/06 21:30,4530 78TH ST,6,6C        ,1132,10851(A)VC TAKE VEH W/O OWNER
1/5/06 21:44,1 GOFF CT,2,2A        ,231,5150 WI DANGER SELF/OTHERS
1/5/06 21:45,3912 60TH ST,6,6B        ,1067,459 PC  BURGLARY BUSINESS
1/5/06 21:45,2589 BEAUMONT ST,2,2B        ,563,23152(A) VC DUI-ALCOHOL/DRUGS
1/5/06 21:50,3921 TEMPLE AVE,6,6A        ,1051,THREATS - I RPT
1/5/06 21:52,463 EL CAMINO AVE,2,2B        ,563,10851(A)VC TAKE VEH W/O OWNER
1/5/06 21:57,2708 PORTOLA WAY,4,4A        ,928,459 PC  BURGLARY RESIDENCE
1/5/06 22:00,2024 15TH ST,3,3A        ,785,10851(A)VC TAKE VEH W/O OWNER
1/5/06 22:00,373 MOBLEY AVE,2,2A        ,501,10851(A)VC TAKE VEH W/O OWNER
1/5/06 22:00,4425 JEFFREY AVE,4,4B        ,958,459 PC  BURGLARY VEHICLE
1/5/06 22:00,2240 GATEWAY OAKS DR,1,1B        ,440,459 PC  BURGLARY VEHICLE
1/5/06 22:00,285 ARCADE BLVD,2,2B        ,541,459 PC  BURGLARY RESIDENCE
1/5/06 22:05,22 CAPRICE CT,5,5A        ,1501,484 PC PETTY THEFT
1/5/06 22:15,1919 ARDEN WAY,2,2C        ,620,484 PC  PETTY THEFT/ OUTSIDE
1/5/06 22:27,57 STARLIT CIR,4,4C        ,1265,SAFEKEEPING - I RPT
1/5/06 22:31,3555 AUBURN BLVD,2,2A        ,509,MISSING PERSON
1/5/06 22:31,W EL CAMINO AVE / NORTHGATE BLVD,1,1C        ,429,11364 HS POSS DRUG PARAPH
1/5/06 22:50,1814 19TH ST,3,3A        ,776,666 PC PETTY THEFT W/PRI CONV
1/5/06 23:00,6000 LEMON HILL AVE,6,6B        ,1421,594(B)(2)(A) VANDALISM/ -$400
1/5/06 23:00,7611 RIVER RANCH WAY,4,4C        ,1297,594(B)(2)(A) VANDALISM/ -$400
1/5/06 23:00,545 K ST,3,3M        ,742,484 PC  PETTY THEFT/ OUTSIDE
1/5/06 23:22,3309 1ST AVE,6,6A        ,1012,459 PC  BURGLARY RESIDENCE
1/5/06 23:25,16TH ST / G ST,3,3A        ,726,243(E)1 BATTERY NONCOHAB SPOUS
1/5/06 23:30,4925 15TH AVE,6,6B        ,1064,12020(A)1) PROHIBITED FIREARM
1/5/06 23:30,2633 MILLCREEK DR,1,1B        ,434,THREATS - I RPT
1/5/06 23:40,501 W SILVER EAGLE RD,1,1C        ,419,CASUALTY REPORT
1/5/06 23:43,DETROIT BLVD / MEADOWVIEW RD,5,5A        ,1398,11377(A)HS POSS AMPHETAMINES
1/5/06 23:45,1180 35TH AVE,4,4C        ,1227,459 PC  BURGLARY BUSINESS
1/6/06 0:00,5600 FOLSOM BLVD,3,3C        ,855,484J PC PUBLISH CARD INFO
1/6/06 0:00,1334 CANNON ST,2,2B        ,564,594(B)(2)(A) VANDALISM/ -$400
1/6/06 0:00,RESPONSE RD / RIVER PARK DR,2,2C        ,626,459 PC  BURGLARY VEHICLE
1/6/06 0:00,4120 DEERBROOK DR,5,5B        ,1616,594(B)(2)(A)VANDALISM GRAF-400
1/6/06 0:00,6 WATERFRONT CT,4,4C        ,1284,487(A) GRAND THEFT-CLOUT-UNLOC
1/6/06 0:00,6890 SAILBOAT WAY,4,4C        ,1264,459 PC  BURGLARY VEHICLE
1/6/06 0:00,2500 SEAMIST DR,1,1B        ,444,TOWED/STORED VEHICLE
1/6/06 0:00,23 GLENTRESS CT,1,1B        ,440,459 PC  BURGLARY VEHICLE
1/6/06 0:00,2301 RIVER PLAZA DR,1,1B        ,440,487(A) PC GRAND THEFT
1/6/06 0:01,5831 ANNRUD WAY,4,4C        ,1227,459 PC  BURGLARY VEHICLE
1/6/06 0:01,140 EASTBROOK WAY,1,1A        ,113,487(A) GRAND THEFT-CLOUT-UNLOC
1/6/06 0:01,254 RIVERTREE WAY,4,4C        ,1254,459 PC  BURGLARY VEHICLE
1/6/06 0:01,4878 WATSEKA WAY,1,1A        ,123,POSSIBLE FINANCIAL CRIME-I RPT
1/6/06 0:07,1620 W EL CAMINO AVE,1,1B        ,443,ABC LICENSE VIO/INFO - I RPT
1/6/06 0:23,MEADOWVIEW RD / AMHERST ST,5,5A        ,1391,11350(A)HS POSS CNTRL SUBST
1/6/06 0:42,BRANCH ST / ELEANOR AVE,2,2B        ,553,487(A) PC GRAND THEFT
1/6/06 0:51,N 16TH ST / A ST,3,3A        ,707,245(A)(1)AWDW/NO FIREARM/CIVIL
1/6/06 0:58,CHANGO CIR / LA CASA WAY,1,1A        ,102,20002(A) HIT/RUN
1/6/06 1:19,6220 BELLEAU WOOD LN,4,4C        ,1331,459 PC  BURGLARY BUSINESS
1/6/06 1:52,2604 EVERGREEN ST,2,2B        ,564,TRAFFIC-ACCIDENT-NON INJURY
1/6/06 2:00,3250 W ST,6,6A        ,1001,VANDALISM - I RPT
1/6/06 2:00,1087 35TH AVE,4,4C        ,1225,594(B)(2)(A) VANDALISM/ -$400
1/6/06 2:30,3735 SAN CARLOS WAY,6,6A        ,1042,459 PC  BURGLARY VEHICLE
1/6/06 2:57,5152 MACK RD,5,5B        ,1621,BURGLARY - I RPT
1/6/06 3:00,1064 ANDY CIR,2,2A        ,224,10851(A)VC TAKE VEH W/O OWNER
1/6/06 3:11,DEER MEADOW DR / DEER RUN WAY,5,5B        ,1616,TOWED/STORED VEHICLE
1/6/06 3:15,MARYSVILLE BLVD / RIO LINDA BLVD,2,2A        ,204,23152(A) VC DUI-ALCOHOL/DRUGS
1/6/06 3:43,8TH AVE / SAN CARLOS WAY,6,6A        ,1032,CASUALTY REPORT
1/6/06 5:14,6550 FREEPORT BLVD,4,4C        ,1331,496(A) RECEIVE STOLEN PROPERTY
1/6/06 5:50,8TH ST / J ST,3,3M        ,732,242 PC  BATTERY CIVILIAN
1/6/06 6:00,4033 BROADWAY,6,6A        ,1014,MISSING PERSON
1/6/06 6:00,3265 11TH AVE,6,6A        ,1041,459 PC  BURGLARY RESIDENCE
1/6/06 6:30,1949 FRIENZA AVE,2,2C        ,568,459 PC  BURGLARY RESIDENCE
1/6/06 6:30,7804 CENTER PKWY,5,5B        ,1621,484 PETTY THEFT/LICENSE PLATE
1/6/06 6:45,730 DIXIEANNE AVE,2,2C        ,603,11350(A)HS POSS CNTRL SUBST
1/6/06 6:58,BRUCEVILLE RD / HOSPITAL DR,5,5C        ,1639,TRAFFIC-ACCIDENT-NON INJURY
1/6/06 7:00,424 HOWE AVE,3,3C        ,877,487(A) PC GRAND THEFT
1/6/06 7:30,3594 DEL SOL WAY,1,1B        ,404,10851(A)VC TAKE VEH W/O OWNER
1/6/06 7:30,24TH ST / MEADOWVIEW RD,5,5A        ,1396,594(B)(2)(A) VANDALISM/ -$400
1/6/06 7:40,14TH AVE / W RAILROAD AVE,6,6C        ,1132,TOWED/STORED VEH-14602.6
1/6/06 8:00,2761 29TH AVE,4,4B        ,969,MISSING PERSON
1/6/06 8:00,689 ARCADE BLVD,2,2B        ,543,10851(A)VC TAKE VEH W/O OWNER
1/6/06 8:00,760 ARCADE BLVD,2,2B        ,543,HIT AND RUN /SUSPECTS- I RPT
1/6/06 8:00,6716 RANCHO GRANDE WAY,6,6C        ,1443,DAMAGE - I RPT
1/6/06 8:00,3149 PARODY WAY,1,1C        ,416,530.5 PC USE PERSONAL ID INFO
1/6/06 8:00,2848 DEL PASO BLVD,2,2B        ,564,417(A)1) PC BRANDISH NON-GUN
1/6/06 8:00,1528 LOS ROBLES BLVD,2,2B        ,525,484G(B) PC ACCESS CARD FRAUD
1/6/06 8:00,2853 2ND AVE,4,4A        ,908,487(D)GRAND THEFT FIREARM/ANIM
1/6/06 8:00,236 1/2 EL CAMINO AVE,2,2C        ,601,NARCOTICS SUSP/EVID/ACT- I RPT
1/6/06 8:30,12TH AVE / 43RD ST,6,6A        ,1053,211 PC  ROBBERY UNSPECIFIED
1/6/06 8:30,3585 STARSTONE WAY,5,5B        ,1399,487(A) GRAND THEFT-INSIDE
1/6/06 8:49,BRADFORD DR / 21ST AVE,6,6C        ,1132,NARCOTICS SUSP/EVID/ACT- I RPT
1/6/06 9:00,1071 35TH AVE,4,4C        ,1225,CASUALTY REPORT
1/6/06 9:00,5695 STOCKTON BLVD,6,6B        ,1401,LOST PROPERTY - I RPT
1/6/06 9:27,2875 BRANCH ST,2,2B        ,553,THREATS - I RPT
1/6/06 9:38,BROADWAY / 56TH ST,6,6B        ,1019,TOWED/STORED VEH-14602.6
1/6/06 9:40,STOCKTON BLVD / 14TH AVE,6,          ,1054,TOWED/STORED VEHICLE
1/6/06 9:45,4635 FREEPORT BLVD,4,4B        ,966,476 PC PASS FICTICIOUS CHECK
1/6/06 9:45,STOCKTON BLVD / 13TH AVE,6,6A        ,1054,TOWED/STORED VEH-14602.6
1/6/06 9:47,1515 BROADWAY,4,4A        ,905,211 PC  ROBBERY-BANK
1/6/06 10:00,8686 W STOCKTON BLVD,5,5C        ,1654,653M(A) PC OBSCENE/THREAT CALL
1/6/06 10:00,2231 J ST,3,3B        ,737,653M(A) PC OBSCENE/THREAT CALL
1/6/06 10:00,35 VILLAGE GREEN DR,2,2A        ,238,484E(A)PC THEFT OF CREDIT CARD
1/6/06 10:05,HOWE AVE / FAIR OAKS BLVD,3,3C        ,877,THREATS - I RPT
1/6/06 10:15,4400 E COMMERCE WAY,1,1A        ,305,484 PC PETTY THEFT
1/6/06 10:25,2689 GROVE AVE,2,2B        ,551,10851 VC AUTO THEFT LOCATE
1/6/06 10:30,W EL CAMINO AVE / GATEWAY OAKS DR,1,1B        ,421,459 PC  BURGLARY VEHICLE
1/6/06 10:45,8358 LA RIVIERA DR,3,3C        ,898,459 PC  BURGLARY RESIDENCE
1/6/06 10:56,MARYSVILLE BLVD / ARCADE BLVD,2,2B        ,537,20002(A) HIT/RUN
1/6/06 11:00,7761 COLLEGE TOWN DR,3,3C        ,888,THREATS - I RPT
1/6/06 11:15,1362 61ST ST,3,3C        ,847,459 PC  BURGLARY RESIDENCE
1/6/06 11:29,5770 FREEPORT BLVD,4,4C        ,985,MISCELLANEOUS I RPT (ZMISC)
1/6/06 11:42,1118 SOUTH AVE,2,2B        ,525,MISCELLANEOUS I RPT (ZMISC)
1/6/06 11:57,4353 73RD ST,6,6C        ,1132,11358 HS CULTIVATE MARIJUANA
1/6/06 12:00,6000 LEMON HILL AVE,6,6B        ,1421,459 PC  BURGLARY VEHICLE
1/6/06 12:00,290 JESSIE AVE,2,2A        ,232,459 PC  BURGLARY RESIDENCE
1/6/06 12:00,1417 R ST,3,3A        ,765,484 PC   PETTY THEFT/INSIDE
1/6/06 12:00,664 BOWLES ST,2,2B        ,563,MISSING PERSON LOCATE O/S ASSI
1/6/06 12:00,8174 ELDER CREEK RD,6,6C        ,1446,10851 VC AUTO THEFT LOCATE
1/6/06 12:00,2525 N ST,3,3B        ,748,484G(B) PC ACCESS CARD FRAUD
1/6/06 12:00,4451 GATEWAY PARK BLVD,1,1A        ,306,LOST PROPERTY - I RPT
1/6/06 12:07,261 LAMPASAS AVE,2,2B        ,551,BATTERY - I RPT
1/6/06 12:26,5303 FRANKLIN BLVD,4,4B        ,969,11364 HS POSS DRUG PARAPH
1/6/06 12:27,1631 CLAUDIA DR,4,4C        ,985,242 PC  BATTERY CIVILIAN
1/6/06 12:30,535 LAMPASAS AVE,2,2B        ,552,594(B)(1)PC  VANDALISM +$400
1/6/06 12:45,1101 L ST,3,3M        ,744,475(C) PASS FORGED NOTE
1/6/06 13:00,36TH ST / 3RD AVE,6,6A        ,1013,653.22(A) LOITER PROSTITUTION
1/6/06 13:00,FRANKLIN BLVD / SUTTERVILLE RD,4,4B        ,937,14601.1(A) VC LIC SUSP OTHER
1/6/06 13:00,5401 FREEPORT BLVD,4,4B        ,976,459 PC  BURGLARY VEHICLE
1/6/06 13:08,4410 POWER INN RD,6,6C        ,1133,5150 WI DANGER SELF/OTHERS
1/6/06 13:10,729 L ST,3,3M        ,742,11378 HS POSS/SALE AMPHETAMINE
1/6/06 13:15,1116 23RD ST,3,3B        ,747,SAFEKEEPING - I RPT
1/6/06 13:19,1701 ARDEN WAY,2,2C        ,619,484 PETTY THEFT-SHOPLIFT
1/6/06 13:33,6606 FRUITRIDGE RD,6,6C        ,1403,NON INJ HR/MAIL OUT REPORT
1/6/06 13:40,FRUITRIDGE RD / STOCKTON BLVD,6,6B        ,1086,653.22(A) LOITER PROSTITUTION
1/6/06 13:45,7500 HOSPITAL DR,5,5C        ,1639,CASUALTY REPORT
1/6/06 13:47,6879 14TH AVE,6,6C        ,1121,HARASSMENT - I RPT
1/6/06 13:56,Q ST / 25TH ST,3,3B        ,768,TRAFFIC-ACCIDENT INJURY
1/6/06 13:57,3743 2ND AVE,6,6A        ,1014,273.6(A) PC VIO DV COURT ORDER
1/6/06 14:00,431 RIVERGATE WAY,4,4C        ,1266,459 PC  BURGLARY RESIDENCE
1/6/06 14:00,2750 SUTTERVILLE RD,4,4B        ,958,459 PC  BURGLARY VEHICLE
1/6/06 14:00,5789 PALMERA LN,1,1A        ,103,484 PETTY THEFT/LICENSE PLATE
1/6/06 14:01,37TH AVE / 79TH ST,6,6C        ,1405,496(A) RECEIVE STOLEN PROPERTY
1/6/06 14:09,MARYSVILLE BLVD / GRAND AVE,2,2A        ,506,TOWED/STORED VEH-14602.6
1/6/06 14:10,1814 19TH ST,3,3A        ,776,484 PC PETTY THEFT
1/6/06 14:15,1924 SILICA AVE,2,2C        ,606,10851 VC AUTO THEFT LOCATE
1/6/06 14:20,3550 MARYSVILLE BLVD,2,2B        ,526,FOUND PROPERTY - I RPT
1/6/06 14:22,2500 NEW MARKET DR,1,1A        ,110,CASUALTY REPORT
1/6/06 14:27,K ST / 7TH ST,3,3M        ,742,148(A)(1)PC RESIST PEACE OFFCR
1/6/06 14:40,1896 ARDEN WAY,2,2C        ,628,484 PETTY THEFT-SHOPLIFT
1/6/06 14:44,1125 ALHAMBRA BLVD,3,3C        ,841,CASUALTY REPORT
1/6/06 14:45,4445 52ND ST,6,6B        ,1064,10851(A)VC TAKE VEH W/O OWNER
1/6/06 14:51,3950 RESEARCH DR,2,2A        ,510,5150 WI DANGER SELF/OTHERS
1/6/06 15:00,2000 BROADWAY,4,4A        ,907,602.1(A)TRES OBST BUSIN OPERAT
1/6/06 15:00,K ST / 30TH ST,3,3C        ,841,POSSIBLE STOLEN PROPERTY-I RPT
1/6/06 15:00,416 SANTA ANA AVE,2,2A        ,213,MISSING PERSON
1/6/06 15:00,6244 LEMON HILL AVE,6,6B        ,1421,MISSING PERSON
1/6/06 15:00,1501 STRADER AVE,2,2B        ,546,484 PC   PETTY THEFT/INSIDE
1/6/06 15:00,2200 IRVIN WAY,4,4B        ,976,459 PC  BURGLARY VEHICLE
1/6/06 15:00,416 SANTA ANA AVE,2,2A        ,213,MISSING PERSON
1/6/06 15:00,416 SANTA ANA AVE,2,2A        ,213,MISSING PERSON
1/6/06 15:15,950 FRIENZA AVE,2,2B        ,564,459 PC  BURGLARY RESIDENCE
1/6/06 15:21,E ST / 30TH ST,3,3C        ,811,TRAFFIC-ACCIDENT-NON INJURY
1/6/06 15:30,MEADOWVIEW RD / AMHERST ST,5,5A        ,1391,11360(A)HS SALE/TRANSP MARIJ
1/6/06 15:30,4321 69TH ST,6,6C        ,1131,245(A)(1)AWDW/NO FIREARM/CIVIL
1/6/06 15:30,3100 MEADOWVIEW RD,5,5A        ,1505,MISSING PERSON
1/6/06 15:40,1689 ARDEN WAY,2,2C        ,619,484J PC PUBLISH CARD INFO
1/6/06 15:42,11TH ST / T ST,3,3A        ,774,TRAFFIC-ACCIDENT INJURY
1/6/06 15:43,GRAND AVE / LINDSAY AVE,2,2A        ,512,TOWED/STORED VEHICLE
1/6/06 15:45,DIXIEANNE AVE / CANTALIER ST,2,2C        ,603,647(B) PC   PROSTITUTION
1/6/06 15:50,FRUITRIDGE RD / GILGUNN WAY,4,4C        ,964,TRAFFIC-ACCIDENT INJURY
1/6/06 15:53,2201 NORTHVIEW DR,1,1C        ,447,484 PC   PETTY THEFT/INSIDE
1/6/06 16:00,419 VISTA NUEVO AVE,2,2B        ,532,484 PETTY THEFT/LICENSE PLATE
1/6/06 16:00,5444 DRY CREEK RD,2,2A        ,205,459 PC  BURGLARY VEHICLE
1/6/06 16:00,3510 MARTIN LUTHER KING JR BLVD,6,6A        ,1041,484 PETTY THEFT/LICENSE PLATE
1/6/06 16:00,5351 47TH AVE,6,6B        ,1421,484 PETTY THEFT/LICENSE PLATE
1/6/06 16:00,6975 CASA DEL ESTE WAY,6,6C        ,1443,SUSP PERS-NO CRIME - I RPT
1/6/06 16:00,HOWE AVE / AMERICAN RIVER DR,3,3C        ,877,NON INJ HR/MAIL OUT REPORT
1/6/06 16:08,SHINING STAR DR / LA FRESA CT,5,5B        ,1602,11379(A)HS SALE/TRAN CNTRL SUB
1/6/06 16:09,3710 FRANKLIN BLVD,4,4B        ,958,484 PETTY THEFT-SHOPLIFT
1/6/06 16:17,2502 RIVERSIDE BLVD,4,4A        ,904,508 PC   EMBEZZLEMENT/EMPLOYEE
1/6/06 16:30,100 CADILLAC DR,3,3C        ,878,10851(A)VC TAKE VEH W/O OWNER
1/6/06 16:30,2270 FAIR OAKS BLVD,3,3C        ,877,484 PETTY THEFT CLOUT UNLOCKED
1/6/06 16:34,STACIA WAY / SHIELAH WAY,4,4B        ,966,TOWED/STORED VEH-14602.6
1/6/06 16:38,ALHAMBRA BLVD / K ST,3,3C        ,841,TRAFFIC-ACCIDENT INJURY
1/6/06 16:45,545 K ST,3,3M        ,742,459 PC  BURGLARY VEHICLE
1/6/06 16:47,2506 35TH ST,6,6A        ,1013,12021(A)(1)PC FELON POSS FRARM
1/6/06 16:52,3301 FONG RANCH RD,1,1B        ,404,GANG ACTIVITY - I RPT
1/6/06 16:58,3641 TRUXEL RD,1,1A        ,337,148.1(A)PC FALSE REPT OF BOMB
1/6/06 17:00,7465 RUSH RIVER DR,4,4C        ,1285,459 PC  BURGLARY BUSINESS
1/6/06 17:00,6244 GLORIA DR,4,4C        ,1255,10851(A)VC TAKE VEH W/O OWNER
1/6/06 17:00,J ST / 11TH ST,3,3M        ,734,9.04.050 A DRINKING IN PUBLIC
1/6/06 17:00,2920 DEL PASO BLVD,2,2B        ,564,484 PETTY THEFT/LICENSE PLATE
1/6/06 17:00,4800 WESTLAKE PKWY,1,1A        ,130,459 PC  BURGLARY VEHICLE
1/6/06 17:00,2901 K ST,3,3B        ,748,459 PC  BURGLARY BUSINESS
1/6/06 17:00,CENTER PKWY / JACINTO AVE,5,5C        ,1654,484 PC  PETTY THEFT/ OUTSIDE
1/6/06 17:04,JUDAH ST / ELDRIDGE AVE,2,2B        ,556,20002(A) HIT/RUN
1/6/06 17:20,2813 AZEVEDO DR,1,1B        ,422,459 PC  BURGLARY RESIDENCE
1/6/06 17:25,FREEPORT BLVD / POCKET RD,5,5A        ,1391,TRAFFIC-ACCIDENT INJURY
1/6/06 17:29,2936 CONNIE DR,2,2C        ,567,11350(A)HS POSS CNTRL SUBST
1/6/06 17:34,801 LAMPASAS AVE,2,2B        ,563,MISCELLANEOUS I RPT (ZMISC)
1/6/06 17:36,WATT AVE / US 50 EB,3,3C        ,1106,TRAFFIC-ACCIDENT INJURY
1/6/06 17:53,3661 TRUXEL RD,1,1A        ,337,MISCELLANEOUS I RPT (ZMISC)
1/6/06 17:54,651 I ST,3,3M        ,732,GANG ACTIVITY - I RPT
1/6/06 18:00,2876 WIESE WAY,1,1C        ,426,LOST PROPERTY - I RPT
1/6/06 18:27,1921 OAK BLUFF WAY,1,1B        ,423,CHILD WELFARE - I RPT
1/6/06 18:32,4TH AVE / SANTA CRUZ WAY,6,6A        ,1015,TOWED/STORED VEH-14602.6
1/6/06 18:35,4008 36TH ST,6,6A        ,1051,484 PC  PETTY THEFT/ OUTSIDE
1/6/06 18:45,6854 BUENA TERRA WAY,4,4C        ,1279,MISSING PERSON
1/6/06 18:48,HWY 99 SB / 12TH AVE,4,4B        ,937,245(A)(1)AWDW/NO FIREARM/CIVIL
1/6/06 18:50,6460 VALLEY HI DR,5,5C        ,1635,417(A)2) PC BRANDISH FIREARM
1/6/06 18:58,1396 GARDEN HWY,1,1B        ,440,459 PC  BURGLARY VEHICLE
1/6/06 19:00,LYTLE ST / 71ST AVE,5,5A        ,1502,245(A)(1)AWDW/NO FIREARM/CIVIL
1/6/06 19:00,FREEPORT BLVD / FRUITRIDGE RD,4,4B        ,976,TRAFFIC-ACCIDENT INJURY
1/6/06 19:00,26TH ST / CAPITOL AVE,3,3B        ,748,459 PC  BURGLARY VEHICLE
1/6/06 19:14,J ST / 20TH ST,3,3B        ,736,TRAFFIC-ACCIDENT-NON INJURY
1/6/06 19:15,2451 MEADOWVIEW RD,5,5A        ,1396,10851(A)VC TAKE VEH W/O OWNER
1/6/06 19:17,BELLEVIEW AVE / FRUITRIDGE RD,6,6C        ,1152,TRAFFIC-ACCIDENT-NON INJURY
1/6/06 19:43,7974 POCKET RD,4,4C        ,1295,422 PC THREAT/INTENT TO TERROR
1/6/06 19:45,2750 STONECREEK DR,1,1B        ,435,10851(A)VC TAKE VEH W/O OWNER
1/6/06 20:00,8101 COSUMNES RIVER BLVD,5,5C        ,1639,484 PC   PETTY THEFT/INSIDE
1/6/06 20:13,1896 ARDEN WAY,2,2C        ,628,484 PETTY THEFT-SHOPLIFT
1/6/06 20:20,1630 HALO WAY,1,1A        ,106,FRAUD OR BUNCO - I RPT
1/6/06 20:26,2ND ST / K ST,3,3M        ,741,9.04.050 A DRINKING IN PUBLIC
1/6/06 20:30,2136 FLORIN RD,5,5A        ,1364,BATTERY - I RPT
1/6/06 20:30,34TH ST / BROADWAY,6,6A        ,1013,487(C) PC  GRAND THEFT-PERSON
1/6/06 20:30,3100 MEADOWVIEW RD,5,5A        ,1505,487(A) PC GRAND THEFT
1/6/06 20:50,6145 CALVINE RD,5,5C        ,1653,10851 VC AUTO THEFT LOCATE
1/6/06 20:56,729 L ST,3,3M        ,742,653M(A) PC OBSCENE/THREAT CALL
1/6/06 21:00,5235 MACK RD,5,5B        ,1604,246 PC SHOOT OCCUP DWELL/VEH
1/6/06 21:00,3131 SPARROW DR,1,1A        ,344,10851(A)VC TAKE VEH W/O OWNER
1/6/06 21:00,535 LAMPASAS AVE,2,2B        ,552,594(B)(2)(A) VANDALISM/ -$400
1/6/06 21:08,401 I ST,3,3M        ,712,148(A)(1)PC RESIST PEACE OFFCR
1/6/06 21:23,805 15TH ST,3,3A        ,735,25661 BP FALSE EVIDENCE OF AGE
1/6/06 21:25,2705 57TH AVE,4,4B        ,1356,290(G)(1) FAIL TO REG SEX OFFE
1/6/06 21:30,4332 76TH ST,6,6C        ,1132,484 PETTY THEFT/LICENSE PLATE
1/6/06 21:44,1500 Q ST,3,3A        ,765,242 PC  BATTERY CIVILIAN
1/6/06 21:50,ALPINE FROST DR / COVEY CREEK WAY,5,5C        ,1637,20002(A) HIT/RUN
1/6/06 21:57,32ND ST / 3RD AVE 4TH AVE ALY,6,6A        ,1011,3056 PAROLE VIO - I RPT
1/6/06 21:58,1415 30TH ST,3,3C        ,851,HARASSMENT - I RPT
1/6/06 22:00,13TH ST / F ST,3,3A        ,725,ROBBERY - I RPT
1/6/06 22:00,90 MARILYN CIR,2,2A        ,222,10851(A)VC TAKE VEH W/O OWNER
1/6/06 22:00,2223 ROYALE RD,2,2C        ,616,10851(A)VC TAKE VEH W/O OWNER
1/6/06 22:00,6 SAGINAW CIR,1,1C        ,414,10851(A)VC TAKE VEH W/O OWNER
1/6/06 22:00,RICHARDS BLVD / BERCUT DR,3,3A        ,701,211 PC  ROBBERY UNSPECIFIED
